Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2020-01-02,152.7911376953125,152.89577671233235,150.61276208742146,151.04082551521063,22622100
2020-01-03,150.88853454589844,152.1537093877142,150.35583240514333,150.6031687669544,21116200
2020-01-06,151.27862548828125,151.34522054495744,148.88145020381464,149.42367447085834,20813700
2020-01-07,149.89927673339844,151.88740299171096,149.6519548138877,151.55447131333676,21634100
2020-01-08,152.2869415283203,152.96234132463985,150.25124929659466,151.18347838942788,27746500
2020-01-09,154.18948364257812,154.31315188987753,153.18115197551302,153.95166902241928,21385000
2020-01-10,153.4759979248047,155.2643680254763,153.32379312580102,154.88387054301572,20725900
2020-01-13,155.3214569091797,155.34999349749867,153.39991104375198,153.87554020246824,21626500
2020-01-14,154.22755432128906,155.62590555974256,153.83753482973594,155.42613487636908,23477400
2020-01-15,155.22634887695312,155.9493145977765,154.6460951495271,154.69364646058995,21417900
2020-01-16,158.0706024169922,158.1371974704603,156.03491007528677,156.3393197224824,23865400
2020-01-17,158.9552764892578,159.30723743482343,157.36666226753334,159.25967161419416,34371700
2020-01-21,158.384521484375,159.99215048130927,158.31792643003993,158.5557410268633,29517200
2020-01-22,157.62351989746094,159.32628062584678,157.60449066453182,159.2406563351917,24138800
2020-01-23,158.5937957763672,158.66989818737443,157.2144740501068,158.08963000411373,19680800
2020-01-24,156.9956817626953,159.3643204314718,156.43444278382523,159.34529119903766,24918100
2020-01-27,154.3701934814453,155.4165834020012,152.39157450488025,153.29526697351514,32078100
2020-01-28,157.39524841308594,157.68061437029192,155.12174102533777,155.79712647746362,24899900
2020-01-29,159.84947204589844,160.5248719679126,157.61402327863624,159.65922324879887,34754500
2020-01-30,164.35842895507812,165.56653121496151,162.46541947030428,165.56653121496151,51597500
2020-01-31,161.9326934814453,163.99692221413906,161.3143814033984,163.81619533297652,36142700
2020-02-03,165.8804168701172,165.99456321433146,162.09439861645657,162.12293520251015,30107000
2020-02-04,171.3406524658203,171.83531088100904,167.7163604089728,168.50590659560362,36433300
2020-02-05,171.1313934326172,175.22180776823546,169.71402759792846,175.06009556968283,39186300
2020-02-06,174.67958068847656,174.86032210279942,171.28358131001283,172.1492299180586,27751400
2020-02-07,174.9269256591797,176.58212068098362,173.58564768539304,173.9376232019867,33529100
2020-02-10,179.5024871826172,179.63566280027678,174.3181309390107,174.6320480052912,35844300
2020-02-11,175.45010375976562,181.404976191026,174.55591853044396,181.35741036743522,53159900
2020-02-12,175.70697021484375,176.79140436308234,172.9863702267991,176.5345604946683,47062900
2020-02-13,174.7556915283203,177.15285230690492,173.95662342040714,174.15639407614833,35295800
2020-02-14,176.31576538085938,176.3728385673503,173.74735586834763,174.3181167633619,23149500
2020-02-18,178.1041259765625,178.55121863549235,176.45845282574476,176.5630918419848,27792200
2020-02-19,178.63824462890625,179.4967096593026,177.8656231906105,179.38225153650183,29997500
2020-02-20,175.91018676757812,178.60960199150284,172.7433912459688,178.32344217483688,36862400
2020-02-21,170.3492431640625,175.0326824659516,169.0710788397271,174.7179080479234,48572600
2020-02-24,163.0045623779297,166.49568121094842,155.69801694393684,160.02853428667305,68311100
2020-02-25,160.31471252441406,166.77231230559676,159.91407987736636,166.1618445618228,68073300
2020-02-26,162.31777954101562,165.26519300844907,160.44822871342618,161.87901364573722,56206100
2020-02-27,150.8810272216797,159.32266379801655,150.69025881613402,155.783864027851,93174900
2020-02-28,154.53433227539062,156.15590045131265,144.9862311109964,145.37731588541052,97012700
2020-03-02,164.81689453125,164.94090056106432,154.8204802848911,157.68205041514142,71030800
2020-03-03,156.91893005371094,166.92489013643683,154.7727528948139,165.78026522929747,71677000
2020-03-04,162.68023681640625,162.82330947641486,157.97771647661318,160.71529466057675,49814400
2020-03-05,158.59774780273438,162.98547961930032,158.0445092042918,158.38789817730108,47817300
2020-03-06,154.11463928222656,155.58357224645644,148.8016502950517,155.10664388012614,72821100
2020-03-09,143.6698760986328,150.4708782982367,143.07848966551825,144.03234626328836,70419300
2020-03-10,153.49462890625,153.5995537326078,145.5394669777741,150.86198947404407,65354400
2020-03-11,146.54098510742188,150.423173662336,144.1754104054555,149.87948300219972,56371600
2020-03-12,132.643310546875,146.38838910499453,132.18546340559118,138.59538160235746,93226400
2020-03-13,151.50103759765625,154.43891751850273,134.23622821911493,140.6938411385518,92727400
2020-03-16,129.17124938964844,142.45847840490325,128.77063139409694,133.53991403832273,87905900
2020-03-17,139.8068084716797,140.69388837483754,128.77067749561402,133.53996184730343,81059800
2020-03-18,133.92147827148438,139.26308174950935,128.78973899188242,131.6322279550157,81593200
2020-03-19,136.1248779296875,143.22155860648684,132.58606363997856,136.18210699531306,85922700
2020-03-20,131.01220703125,140.3123086824431,129.59095548794107,139.26306062299406,84866200
2020-03-23,129.70542907714844,134.0836423608826,126.40509306902422,130.6879003068529,78975200
2020-03-24,141.49508666992188,142.69695531892708,134.75132797536872,137.1168883034806,82516700
2020-03-25,140.14059448242188,147.20867460267078,137.77503445041356,142.03877414693974,75638200
2020-03-26,148.9065704345703,149.4311945319734,141.52371431628413,141.55232885298807,64568100
2020-03-27,142.7923583984375,147.74287746196345,142.3154300039506,144.7477677267737,57042300
2020-03-30,152.83644104003906,153.1893778840761,143.08802528988713,145.40590442813732,63420300
2020-03-31,150.43272399902344,157.17648228814505,149.3357802257252,152.04472935430687,77927200
2020-04-01,145.09117126464844,150.47092351034203,143.86070228787162,145.9401033095552,57969900
2020-04-02,148.09579467773438,148.3056443284032,143.42190239581785,144.85268752963302,49630700
2020-04-03,146.73178100585938,150.11797527329975,145.16745656701602,147.94318311575407,41243300
2020-04-06,157.6438751220703,158.8171145960234,150.30871596903418,152.92228813961418,67111700
2020-04-07,155.94602966308594,162.1556312433612,155.726632153198,161.76454652194099,62769000
2020-04-08,157.51036071777344,158.9792936241454,155.95556964727277,158.02543692905505,48318200
2020-04-09,157.51988220214844,159.64697839696208,155.79340404258915,158.6835884470431,51385100
2020-04-13,157.87278747558594,157.93003109276276,154.8109161952684,156.76632497332315,41905300
2020-04-14,165.6849365234375,165.73263227819874,160.24795523877634,161.2018121151976,52874300
2020-04-15,163.94891357421875,165.56093391594052,161.4307321716492,163.30028337333727,40940800
2020-04-16,168.87074279785156,169.09967359000694,164.9217776000126,166.25718538887708,50479600
2020-04-17,170.3588104248047,171.69420396711413,167.7547711852542,171.21727562276104,52765600
2020-04-20,166.98211669921875,170.50184951587818,166.91535431260507,168.4796783917098,36669600
2020-04-21,160.0762176513672,165.65626989096575,158.44511650151756,165.49411601952747,56203700
2020-04-22,165.5132293701172,165.9710765404302,162.93781902439517,163.48150981013578,34620200
2020-04-23,163.51010131835938,166.98213885982287,163.0236396780882,166.07597797475438,32790800
2020-04-24,166.49571228027344,166.5052456088638,162.83290555295895,164.1206035382632,34277600
2020-04-27,166.01873779296875,168.73722026620558,165.30334537032283,168.44152706026333,33194400
2020-04-28,161.97439575195312,167.56399631501924,161.57377770466547,167.48768603629338,34392700
2020-04-29,169.24276733398438,169.48123148085955,163.948874917113,165.2270392512367,51286600
