Date,Open,High,Low,Close,Volume,Ticker,Daily_Return,Z_Score,Outlier_Z,Outlier_IQR,Streak
2022-01-03,174.34505345884557,179.2960912081591,174.22740989529922,178.44313049316406,104487900,AAPL,,,False,False,0
2022-01-04,179.05096314693128,179.35488561287562,175.60973984086195,176.17837524414062,99310400,AAPL,-0.012691748025067229,-0.7787823223976788,False,False,-1
2022-01-05,176.09015720859438,176.6391804132829,171.21755382734324,171.4920654296875,94537600,AAPL,-0.02659980152478436,-1.5942190156954743,False,False,-2
2022-01-06,169.31558203356892,171.8646356206371,168.27635732737943,168.62930297851562,96904000,AAPL,-0.0166932647525061,-1.013393410747672,False,False,-3
2022-01-07,169.50186605484046,170.72736974687896,167.67831596269667,168.7959747314453,86709100,AAPL,0.0009883914004609196,0.023291645554224714,False,False,1
2022-01-10,165.7665135929736,169.119489502726,164.87434342032694,168.81556701660156,106765600,AAPL,0.00011607080789355351,-0.02785298223378126,False,False,2
2022-01-11,168.9430494474789,171.7469876214078,167.47244497092254,171.64895629882812,76138300,AAPL,0.016783933687513075,0.949392826547041,False,False,3
2022-01-12,172.66855252404713,173.70777719583765,171.39404073246158,172.09011840820312,74805200,AAPL,0.0025701415195731325,0.11603050989483787,False,False,4
2022-01-13,172.33520961359125,173.15874440691425,168.42339690566672,168.81556701660156,84505800,AAPL,-0.019028119812401045,-1.1502872247820433,False,False,-1
2022-01-14,167.9822217558743,170.37440711806423,167.7371210418755,169.67832946777344,80440800,AAPL,0.0051106806464538135,0.26498369193856425,False,False,1
2022-01-18,168.1488926576498,169.15870642783565,166.09005558435084,166.472412109375,90956700,AAPL,-0.018894088411020915,-1.1424288912818372,False,False,-1
2022-01-19,166.6684893743364,167.72732627847407,162.68805608048748,162.9723663330078,94815000,AAPL,-0.021024779613739275,-1.2673524680295611,False,False,-2
2022-01-20,163.70766807832655,166.3547528521012,160.9625370330281,161.28607177734375,91420500,AAPL,-0.010347119536930571,-0.6413154869834454,False,False,-3
2022-01-21,161.19785371976124,163.070426973366,159.1194042209609,159.2272491455078,122848900,AAPL,-0.012765036739676772,-0.7830792793441319,False,False,-4
