,Date,AAPL,GOOGL,JPM,MSFT,TSLA,SMA_20,SMA_50,Buy,Sell
213,2022-11-07,136.98802185058594,87.88385772705078,122.60260772705078,222.3389892578125,197.0800018310547,142.58474197387696,146.64849426269532,,
214,2022-11-08,137.5599822998047,88.29104614257812,122.67726135253906,223.3147430419922,191.3000030517578,142.621728515625,146.22225067138672,,
215,2022-11-09,132.99435424804688,86.72187042236328,121.08139038085938,219.0605926513672,177.58999633789062,142.46193618774413,145.7533267211914,,
216,2022-11-10,144.82745361328125,93.29652404785156,126.06498718261719,237.08226013183594,190.72000122070312,142.66491317749023,145.55434020996094,144.82745361328125,
217,2022-11-11,147.61813354492188,95.74961853027344,126.27033996582031,241.11204528808594,195.97000122070312,143.23434143066407,145.39659729003907,,
218,2022-11-14,146.2178497314453,95.04447174072266,124.97309112548828,235.68699645996094,190.9499969482422,143.53538818359374,145.25318084716798,,
219,2022-11-15,147.95338439941406,97.76570129394531,124.06784057617188,236.09677124023438,194.4199981689453,143.85725173950195,145.16967651367187,,
220,2022-11-16,146.72079467773438,98.17288970947266,124.2358169555664,236.52728271484375,186.9199981689453,144.11207275390626,145.03336517333983,,
221,2022-11-17,148.62393188476562,97.68624877929688,123.69449615478516,236.47836303710938,183.1699981689453,144.4851837158203,144.96464965820311,,
222,2022-11-18,149.18597412109375,96.76261138916016,124.90776062011719,236.0283203125,180.19000244140625,144.69541015625,144.8498797607422,,
223,2022-11-21,145.95162963867188,94.94515991210938,124.17047882080078,236.8404083251953,167.8699951171875,144.63661422729493,144.55110656738282,,
224,2022-11-22,148.0914306640625,96.38522338867188,126.02765655517578,239.75628662109375,169.91000366210938,144.5425552368164,144.48394897460938,,
225,2022-11-23,148.9690704345703,97.78556823730469,127.37157440185547,242.2514190673828,183.1999969482422,144.63955535888672,144.40540100097655,,
226,2022-11-25,146.0502166748047,96.79241180419922,127.61421966552734,242.16334533691406,182.86000061035156,144.8145767211914,144.32636199951173,,
227,2022-11-28,142.21432495117188,95.39208221435547,125.38372039794922,236.55665588378906,182.9199981689453,144.2593032836914,144.203486328125,,142.21432495117188
228,2022-11-29,139.20672607421875,94.53795623779297,127.44625091552734,235.15745544433594,180.8300018310547,143.67178497314453,143.94603393554686,,
229,2022-11-30,145.97134399414062,100.29823303222656,128.95811462402344,249.64865112304688,194.6999969482422,143.55490798950194,143.7762255859375,145.97134399414062,
230,2022-12-01,146.24746704101562,100.29823303222656,127.1476058959961,249.2083740234375,194.6999969482422,143.72847061157228,143.67455139160157,,
231,2022-12-02,145.75440979003906,99.75200653076172,126.13966369628906,249.53128051757812,194.86000061035156,144.18010330200195,143.58231170654298,,
232,2022-12-05,144.59080505371094,98.79857635498047,122.60260772705078,244.81500244140625,182.4499969482422,144.586865234375,143.5122821044922,,
233,2022-12-06,140.9225311279297,96.31570434570312,122.80791473388672,239.84432983398438,179.82000732421875,144.7835906982422,143.3621923828125,,140.9225311279297
234,2022-12-07,138.97994995117188,94.28968811035156,122.72392272949219,239.1104736328125,174.0399932861328,144.85458908081054,143.15375854492189,,
235,2022-12-08,140.66616821289062,93.0680923461914,124.0118408203125,242.0752716064453,173.44000244140625,145.23817977905273,143.01685272216798,,
236,2022-12-09,140.18299865722656,92.19412231445312,123.33988189697266,240.1378631591797,179.0500030517578,145.00595703125,143.01519622802735,,
237,2022-12-12,142.48056030273438,92.67083740234375,125.25306701660156,247.07528686523438,167.82000732421875,144.74907836914062,143.14376037597657,,
238,2022-12-13,143.44691467285156,94.97494506835938,125.13175201416016,251.39039611816406,160.9499969482422,144.61053161621095,143.20797271728514,,
239,2022-12-14,141.21839904785156,94.41877746582031,124.50646209716797,251.68394470214844,156.8000030517578,144.2737823486328,143.15574859619142,,
240,2022-12-15,134.6016845703125,90.23761749267578,121.41737365722656,243.65060424804688,157.6699981689453,143.6678268432617,142.965283203125,,
241,2022-12-16,132.63934326171875,89.64173126220703,120.66143035888672,239.42361450195312,150.22999572753906,142.86859741210938,142.75467041015625,,
242,2022-12-19,130.5291290283203,87.83419799804688,121.3800277709961,235.2748565673828,149.8699951171875,141.9357551574707,142.60699340820312,,
243,2022-12-20,130.46011352539062,88.41021728515625,121.9679946899414,236.59580993652344,137.8000030517578,141.16117935180665,142.45143829345704,,
244,2022-12-21,133.5662841796875,88.96638488769531,123.33988189697266,239.16917419433594,137.57000732421875,140.4349220275879,142.3863589477539,,
245,2022-12-22,130.39108276367188,87.15885925292969,121.93998718261719,233.0635223388672,125.3499984741211,139.50602264404296,142.27037658691407,,
246,2022-12-23,130.0261993408203,88.6187973022461,122.51860809326172,233.59185791015625,123.1500015258789,138.70482177734374,142.05554229736327,,
247,2022-12-27,128.22169494628906,86.79139709472656,122.94792938232422,231.85997009277344,109.0999984741211,138.00519027709962,141.89538482666015,,
248,2022-12-28,124.28714752197266,85.43077087402344,123.6198501586914,229.48223876953125,112.70999908447266,137.25921134948732,141.57718948364257,,
249,2022-12-29,127.80754852294922,87.84413146972656,124.32913208007812,235.82281494140625,121.81999969482422,136.35102157592775,141.30301818847656,,
250,2022-12-30,128.123046875,87.62564849853516,125.15043640136719,234.6584014892578,123.18000030517578,135.44480056762694,141.0329916381836,,
251,2023-01-03,123.33063507080078,88.50953674316406,126.10232543945312,234.423583984375,108.0999984741211,134.32361183166503,140.67637008666992,,
252,2023-01-04,124.60270690917969,87.47666931152344,127.27825164794922,224.1691131591797,113.63999938964844,133.32420692443847,140.2687953186035,,
253,2023-01-05,123.28133392333984,85.60954284667969,127.25005340576172,217.52528381347656,110.33999633789062,132.442147064209,139.79187103271485,,
254,2023-01-06,127.8173828125,86.74172973632812,129.68505859375,220.08888244628906,113.05999755859375,131.8840187072754,139.34876647949218,,
255,2023-01-09,128.33999633789062,87.41706848144531,129.14915466308594,222.23171997070312,119.7699966430664,131.2677101135254,138.9749850463867,,
256,2023-01-10,128.91192626953125,87.8143310546875,130.3055419921875,223.92454528808594,118.8499984741211,130.70415649414062,138.7022277832031,,
257,2023-01-11,131.63357543945312,90.89309692382812,131.27392578125,230.69557189941406,123.22000122070312,130.16180725097655,138.26850341796876,131.63357543945312,
258,2023-01-12,131.55467224121094,90.50577545166016,131.1422882080078,233.3766326904297,123.55999755859375,129.56719512939452,137.88045501708984,,
259,2023-01-13,132.88589477539062,91.4889907836914,134.45159912109375,234.0811004638672,122.4000015258789,129.15056991577148,137.5719952392578,,
260,2023-01-17,134.04949951171875,90.66468811035156,132.3738555908203,235.17701721191406,131.49000549316406,129.1229606628418,137.3974609375,,
261,2023-01-18,133.3296356201172,90.49583435058594,128.39703369140625,230.73472595214844,128.77999877929688,129.15747528076173,137.32961853027345,,
262,2023-01-19,133.3887939453125,92.4126205444336,126.68595123291016,226.93824768066406,127.16999816894531,129.30045852661132,137.26828308105468,,
263,2023-01-20,135.9525909423828,97.34857177734375,126.99620056152344,235.04981994628906,133.4199981689453,129.57508239746093,137.2475744628906,,
264,2023-01-23,139.14761352539062,99.10645294189453,129.05517578125,237.35899353027344,143.75,129.8541488647461,137.27932708740235,,
265,2023-01-24,140.54783630371094,97.03076934814453,130.1645050048828,236.8306427001953,143.88999938964844,130.36198654174805,137.43039672851563,,
266,2023-01-25,139.8871307373047,94.56776428222656,130.79441833496094,235.431396484375,144.42999267578125,130.85503311157225,137.3315902709961,,
267,2023-01-26,141.9579620361328,96.85200500488281,131.60293579101562,242.66232299804688,160.27000427246094,131.54184646606444,137.2183868408203,,
268,2023-01-27,143.90054321289062,98.68932342529297,131.922607421875,242.8189239501953,177.89999389648438,132.52251625061035,137.1720407104492,,
269,2023-01-30,141.0112762451172,96.27598571777344,130.80384826660156,237.48622131347656,166.66000366210938,133.18270263671874,137.03319854736327,,
270,2023-01-31,142.28334045410156,98.16295623779297,131.58413696289062,242.4764404296875,173.22000122070312,133.89071731567384,136.94444946289062,,
271,2023-02-01,143.407470703125,99.74205780029297,131.23629760742188,247.31015014648438,181.41000366210938,134.89455909729003,136.8401202392578,,
272,2023-02-02,148.72256469726562,107.00199127197266,130.6251983642578,258.9050598144531,188.27000427246094,136.10055198669434,136.83085205078126,,
273,2023-02-03,152.35134887695312,104.06226348876953,132.64651489257812,252.78961181640625,189.97999572753906,137.554052734375,136.9588464355469,,
274,2023-02-06,149.61988830566406,102.19515228271484,133.42686462402344,251.2436065673828,194.75999450683594,138.6441780090332,136.9894155883789,,
275,2023-02-07,152.499267578125,106.90267944335938,135.0533447265625,261.8013610839844,196.80999755859375,139.8521415710449,137.06001953125,,
276,2023-02-08,149.80722045898438,98.68932342529297,134.10379028320312,260.98919677734375,201.2899932861328,140.89690628051758,137.1351596069336,,
277,2023-02-09,148.77183532714844,94.35919189453125,132.0166015625,257.9461364746094,207.32000732421875,141.75381927490236,137.26630981445314,,
278,2023-02-10,149.13723754882812,93.92221069335938,132.5995330810547,257.4373779296875,196.88999938964844,142.6329475402832,137.4649200439453,,
279,2023-02-13,151.94203186035156,93.9619369506836,134.03797912597656,265.4804382324219,194.63999938964844,143.58575439453125,137.58433380126954,,
280,2023-02-14,151.3000946044922,94.03146362304688,134.63026428222656,266.3121643066406,209.25,144.44828414916992,137.68538635253907,,
281,2023-02-15,153.4036865234375,96.27598571777344,135.19435119628906,264.1835632324219,214.24000549316406,145.45198669433594,137.83837188720702,,
282,2023-02-16,151.80377197265625,94.85577392578125,133.3328399658203,257.1502685546875,202.0399932861328,146.37273559570312,137.98263122558595,,
283,2023-02-17,150.6581573486328,93.70372009277344,133.7277069091797,253.13827514648438,208.30999755859375,147.10801391601564,138.17734375,,
284,2023-02-21,146.6386260986328,91.16126251220703,131.27392578125,247.85110473632812,197.3699951171875,147.48256454467773,138.3305172729492,,146.6386260986328
285,2023-02-22,147.06329345703125,91.022216796875,130.26791381835938,246.71322631835938,200.86000061035156,147.80833740234374,138.45845977783202,,
286,2023-02-23,147.54722595214844,90.26741790771484,131.31150817871094,249.91104125976562,202.07000732421875,148.19134216308595,138.60574432373048,,
287,2023-02-24,144.8905792236328,88.51947021484375,132.49610900878906,244.4668731689453,196.8800048828125,148.33797302246094,138.65394470214844,,
288,2023-02-27,146.0855712890625,89.25440979003906,133.65249633789062,245.3889617919922,207.6300048828125,148.44722442626954,138.70671783447267,,
289,2023-02-28,145.58189392089844,89.44309997558594,134.7712860107422,244.66307067871094,205.7100067138672,148.6757553100586,138.79398773193358,,
290,2023-03-01,143.50794982910156,89.74104309082031,134.01918029785156,241.57315063476562,202.77000427246094,148.7369857788086,138.97211303710938,,
291,2023-03-02,144.10049438476562,91.36980438232422,132.62774658203125,246.32086181640625,190.89999389648438,148.77163696289062,139.2013360595703,,
292,2023-03-03,149.15701293945312,93.00851440429688,135.06272888183594,250.42111206054688,197.7899932861328,148.793359375,139.57389373779296,149.15701293945312,
293,2023-03-06,151.9222869873047,94.47836303710938,134.27301025390625,251.9709930419922,193.80999755859375,148.77190628051758,140.00313720703124,,
294,2023-03-07,149.71995544433594,93.21707153320312,130.3243408203125,249.3028564453125,187.7100067138672,148.77690963745118,140.3262106323242,,
295,2023-03-08,150.9741668701172,93.60440063476562,129.5533905029297,248.86143493652344,182.0,148.70065460205078,140.7378723144531,,
296,2023-03-09,148.7224578857422,91.6876220703125,122.53987121582031,247.50778198242188,172.9199981689453,148.64641647338868,141.11179748535156,,
297,2023-03-10,146.65838623046875,90.00920104980469,125.65177917480469,243.848876953125,173.44000244140625,148.54074401855468,141.48053131103515,,146.65838623046875
298,2023-03-13,148.60397338867188,90.48591613769531,123.39541625976562,249.07723999023438,174.47999572753906,148.5140808105469,141.96686782836915,148.60397338867188,
299,2023-03-14,150.6976776123047,93.3263168334961,126.56371307373047,255.81625366210938,183.25999450683594,148.45186309814454,142.42467041015624,,
300,2023-03-15,151.0927276611328,95.45166015625,120.5843276977539,260.37750244140625,180.4499969482422,148.44149475097657,142.8840640258789,,
301,2023-03-16,153.917236328125,99.63282012939453,122.9253158569336,270.9323425292969,184.1300048828125,148.46717224121093,143.4957960510254,,
302,2023-03-17,153.0777587890625,100.9239273071289,118.28096008300781,274.1007385253906,180.1300048828125,148.53087158203124,144.06529708862305,,
303,2023-03-20,155.44801330566406,100.52666473388672,119.5313720703125,267.0380554199219,183.25,148.7703643798828,144.70863067626954,,
