Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA
Date,,,,,,,,,,,,,,,
2020-01-30,78.21892547607422,164.35842895507812,42.72066879272461,78.27205870652551,165.56653121496151,43.391998291015625,76.98237833510105,162.46541947030428,41.20000076293945,77.41468928420925,165.56653121496151,42.16133117675781,126743200,51597500,435085500
2020-01-31,74.75079345703125,161.9326934814453,43.371334075927734,77.93151989975665,163.99692221413906,43.53333282470703,74.4561468983136,161.3143814033984,42.167999267578125,77.50887157038966,163.81619533297652,42.66666793823242,199588400,36142700,235789500
2020-02-03,74.54549407958984,165.8804168701172,52.0,75.71200004458515,165.99456321433146,52.409332275390625,72.99014787932889,162.09439861645657,44.90133285522461,73.49249228699044,162.12293520251015,44.91266632080078,173788400,30107000,705975000
2020-02-04,77.00651550292969,171.3406524658203,59.137332916259766,77.197313069489,171.83531088100904,64.59933471679688,75.74581580955447,167.7163604089728,55.59199905395508,76.15155637582674,168.50590659560362,58.86399841308594,136616400,36433300,914082000
2020-02-05,77.63445281982422,171.1313934326172,48.97999954223633,78.43386124893598,175.22180776823546,56.39866638183594,77.03066957303884,169.71402759792846,46.94066619873047,78.13437974665777,175.06009556968283,54.88399887084961,118826800,39186300,726357000
2020-02-06,78.54251098632812,174.67958068847656,49.930667877197266,78.54492847701792,174.86032210279942,53.05533218383789,77.3470249882305,171.28358131001283,45.79999923706055,77.90491992808909,172.1492299180586,46.66133117675781,105425600,27751400,598212000
2020-02-07,77.47493743896484,174.9269256591797,49.871334075927734,78.29076771071938,176.58212068098362,51.31666564941406,76.9835021703116,173.58564768539304,48.66666793823242,78.04141892687844,173.9376232019867,48.70333480834961,117684000,33529100,255952500
2020-02-10,77.84288787841797,179.5024871826172,51.41866683959961,77.84288787841797,179.63566280027678,54.66600036621094,75.97882681770385,174.3181309390107,50.15999984741211,76.05871208817942,174.6320480052912,53.33333206176758,109348800,35844300,370338000
2020-02-11,77.37324523925781,175.45010375976562,51.62533187866211,78.41179815824636,181.404976191026,52.23400115966797,77.15536891605744,174.55591853044396,50.53333282470703,78.33917517981024,181.35741036743522,51.25266647338867,94323200,53159900,175462500
2020-02-12,79.21068572998047,175.70697021484375,51.15266799926758,79.21552479911539,176.79140436308234,52.650001525878906,77.8235277760248,172.9863702267991,50.891334533691406,77.8235277760248,176.5345604946683,51.858001708984375,113730400,47062900,180337500
2020-02-13,78.6466293334961,174.7556915283203,53.599998474121094,78.97344754144679,177.15285230690492,54.53333282470703,78.27866056338509,173.95662342040714,49.0,78.48201230906955,174.15639407614833,49.45600128173828,94747600,35295800,394339500
2020-02-14,78.66600799560547,176.31576538085938,53.33533477783203,78.91535678515409,176.3728385673503,54.198001861572266,78.15762488828393,173.74735586834763,52.366668701171875,78.61516451334795,174.3181167633619,52.4813346862793,80113600,23149500,235405500
2020-02-18,77.22557067871094,178.1041259765625,57.22666549682617,77.40713550005586,178.55121863549235,57.33333206176758,76.16280771158402,176.45845282574476,55.490665435791016,76.34437253292894,176.5630918419848,56.106666564941406,152531200,27792200,245725500
2020-02-19,78.34403228759766,178.63824462890625,61.16133117675781,78.57401741875222,179.4967096593026,62.98533248901367,77.46768033586122,177.8656231906105,60.06800079345703,77.46768033586122,179.38225153650183,61.56666564941406,93984000,29997500,381345000
2020-02-20,77.540283203125,175.91018676757812,59.96066665649414,78.59336068691168,178.60960199150284,60.79999923706055,77.0343234338156,172.7433912459688,57.3293342590332,78.10434874137093,178.32344217483688,60.79666519165039,100566000,36862400,264523500
2020-02-21,75.78517150878906,170.3492431640625,60.06666564941406,77.57661741601534,175.0326824659516,60.87066650390625,75.16785392447004,169.0710788397271,58.6966667175293,77.13359500928858,174.7179080479234,60.46533203125,129554000,48572600,214722000
2020-02-24,72.18534851074219,163.0045623779297,55.58599853515625,73.63786746473984,166.49568121094842,57.56666564941406,70.01867883709842,155.69801694393684,54.813331604003906,71.9626330750162,160.02853428667305,55.93333435058594,222195200,68311100,227883000
2020-02-25,69.7402572631836,160.31471252441406,53.32733154296875,73.23840922009403,166.77231230559676,57.106666564941406,69.26819314550896,159.91407987736636,52.46666717529297,72.8559159017165,166.1618445618228,56.599998474121094,230673600,68073300,259357500
2020-02-26,70.84658813476562,162.31777954101562,51.91999816894531,72.11270274954929,165.26519300844907,54.22066879272461,69.35775815457548,160.44822871342618,51.740665435791016,69.36502045153675,161.87901364573722,52.16666793823242,198054800,56206100,211282500
2020-02-27,66.21548461914062,150.8810272216797,45.266666412353516,69.23672624207228,159.32266379801655,49.31800079345703,66.07991679515257,150.69025881613402,44.599998474121094,68.05050408823062,155.783864027851,48.66666793823242,320605600,93174900,364158000
2020-02-28,66.17674255371094,154.53433227539062,44.53266525268555,67.39928345046577,156.15590045131265,46.03466796875,62.06369649730183,144.9862311109964,40.768001556396484,62.279156964871476,145.37731588541052,41.97999954223633,426510000,97012700,363343500
2020-03-02,72.33784484863281,164.81689453125,49.574668884277344,72.97453333535833,164.94090056106432,49.5793342590332,67.23224297649529,154.8204802848911,45.77799987792969,68.3361564954498,157.68205041514142,47.41733169555664,341397200,71030800,302925000
2020-03-03,70.04044342041016,156.91893005371094,49.70066833496094,73.59427022253612,166.92489013643683,53.798667907714844,69.18829451063576,154.7727528948139,47.740665435791016,73.51438495619033,165.78026522929747,53.66666793823242,319475600,71677000,386760000
