Date,Open,High,Low,Close,Volume,Ticker,Daily_Return,Z_Score,Outlier_Z,Outlier_IQR,Daily_Return_manual,SMA_20_manual,SMA_20,SMA_50_manual,SMA_50,Streak_manual,Streak
2022-01-03,174.34505345884557,179.2960912081591,174.22740989529922,178.44313049316406,104487900,AAPL,,,False,False,,178.44313049316406,178.44313049316406,178.44313049316406,178.44313049316406,,
2022-01-04,179.051009669682,179.3549322145944,175.6097854694808,176.1784210205078,99310400,AAPL,-0.01269149149310067,-0.7787672519606604,False,False,-0.012691491493100702,177.31077575683594,177.31077575683594,177.31077575683594,177.31077575683594,-1.0,-1.0
2022-01-05,176.09017287650624,176.639196130045,171.21756906170717,171.49208068847656,94537600,AAPL,-0.026599967833096594,-1.594228704685201,False,False,-0.026599967833096556,175.37121073404947,175.37121073404947,175.37121073404947,175.37121073404947,-2.0,-2.0
2022-01-06,169.31562799623447,171.8646822752726,168.27640300793547,168.6293487548828,96904000,AAPL,-0.016693085313916223,-1.013382851151215,False,False,-0.016693085313916257,173.6857452392578,173.6857452392578,173.6857452392578,173.6857452392578,-3.0,-3.0
2022-01-07,169.50186605484046,170.72736974687896,167.67831596269667,168.7959747314453,86709100,AAPL,0.0009881196707028916,0.02327571231887367,False,False,0.0009881196707027856,172.70779113769532,172.70779113769532,172.70779113769532,172.70779113769532,1.0,1.0
2022-01-10,165.7665135929736,169.119489502726,164.87434342032694,168.81556701660156,106765600,AAPL,0.00011607080789355351,-0.02785298180474842,False,False,0.00011607080789350197,172.05908711751303,172.05908711751303,172.05908711751303,172.05908711751303,2.0,2.0
2022-01-11,168.9430494474789,171.7469876214078,167.47244497092254,171.64895629882812,76138300,AAPL,0.016783933687513075,0.9493927887144948,False,False,0.01678393368751309,172.00049700055803,172.00049700055803,172.00049700055803,172.00049700055803,3.0,3.0
2022-01-12,172.66856783412447,173.70779259806037,171.39405592953122,172.0901336669922,74805200,AAPL,0.0025702304148940147,0.11603571667098053,False,False,0.00257023041489402,172.0117015838623,172.0117015838623,172.0117015838623,172.0117015838623,4.0,4.0
2022-01-13,172.33520961359125,173.15874440691425,168.42339690566672,168.81556701660156,84505800,AAPL,-0.019028206792651825,-1.1502922801058586,False,False,-0.019028206792651846,171.65657552083334,171.65657552083334,171.65657552083334,171.65657552083334,-1.0,-1.0
2022-01-14,167.9822368621362,170.37442243944997,167.73713612609606,169.6783447265625,80440800,AAPL,0.005110771033787875,0.2649889803603588,False,False,0.00511077103378796,171.45875244140626,171.45875244140626,171.45875244140626,171.45875244140626,1.0,1.0
2022-01-18,168.14887724519528,169.15869092282202,166.09004036060844,166.47239685058594,90956700,AAPL,-0.018894266567386464,-1.1424392926180016,False,False,-0.018894266567386447,171.0054473876953,171.0054473876953,171.0054473876953,171.0054473876953,-1.0,-1.0
2022-01-19,166.6684893743364,167.72732627847407,162.68805608048748,162.9723663330078,94815000,AAPL,-0.02102468988128714,-1.2673471580091134,False,False,-0.0210246898812871,170.33602396647134,170.33602396647134,170.33602396647134,170.33602396647134,-2.0,-2.0
2022-01-20,163.7076835662155,166.35476859042288,160.9625522612085,161.2860870361328,91420500,AAPL,-0.010347025908854723,-0.641309973071372,False,False,-0.010347025908854753,169.63987497182993,169.63987497182993,169.63987497182993,169.63987497182993,-3.0,-3.0
2022-01-21,161.197822824496,163.07039571920242,159.1193737240524,159.2272186279297,122848900,AAPL,-0.012765319352945004,-0.7830958191141364,False,False,-0.012765319352945044,168.8961138044085,168.8961138044085,168.8961138044085,168.8961138044085,-4.0,-4.0
2022-01-24,156.88406222991276,159.11937944541725,151.6683120872291,158.45269775390625,162294600,AAPL,-0.004864249220061345,-0.3198518252258975,False,False,-0.004864249220061303,168.19988606770832,168.19988606770832,168.19988606770832,168.19988606770832,-5.0,-5.0
2022-01-25,155.86447825105273,159.57040071525032,153.9428965820871,156.6488037109375,115798400,AAPL,-0.01138443250597343,-0.7021336801455784,False,False,-0.011384432505973409,167.47794342041016,167.47794342041016,167.47794342041016,167.47794342041016,-6.0,-6.0
