Date,AAPL
2022-01-03,
2022-01-04,-0.01269149149310067
2022-01-05,-0.026599967833096594
2022-01-06,-0.016693085313916223
2022-01-07,0.0009881196707028916
2022-01-10,0.00011607080789355351
2022-01-11,0.016783933687513075
2022-01-12,0.0025702304148940147
2022-01-13,-0.019028206792651825
2022-01-14,0.005110771033787875
2022-01-18,-0.018894266567386464
2022-01-19,-0.02102468988128714
2022-01-20,-0.010347025908854723
2022-01-21,-0.012765319352945004
2022-01-24,-0.004864249220061345
2022-01-25,-0.01138443250597343
2022-01-26,-0.0005634057448683505
2022-01-27,-0.0029433688045010786
2022-01-28,0.06977765335256025
2022-01-31,0.026125851015187607
2022-02-01,-0.0009724922971325878
2022-02-02,0.007044129113962905
2022-02-03,-0.01671966122193491
2022-02-04,-0.0016794314075546657
2022-02-07,-0.004234540316632507
2022-02-08,0.018466795436264505
2022-02-09,0.008293624279669176
2022-02-10,-0.02359868428072054
2022-02-11,-0.02021847377575059
2022-02-14,0.0014229607501374808
2022-02-15,0.02315270591371199
2022-02-16,-0.0013890545630995677
2022-02-17,-0.021269277858898428
2022-02-18,-0.009355756394500814
2022-02-22,-0.017812132508396084
2022-02-23,-0.025864206342291807
2022-02-24,0.01668014679927521
2022-02-25,0.01296548754632565
2022-02-28,0.0016377528962880916
2022-03-01,-0.011627869759574638
2022-03-02,0.020588168622587055
2022-03-03,-0.001981168401273936
2022-03-04,-0.018408262823698673
2022-03-07,-0.023717423064055332
2022-03-08,-0.011676238140146622
2022-03-09,0.03499737823503635
2022-03-10,-0.027186103413573193
2022-03-11,-0.023908738777625782
2022-03-14,-0.026562312738508065
2022-03-15,0.02967733786009985
2022-03-16,0.029015513921837988
2022-03-17,0.006453886396327269
2022-03-18,0.02091896705529539
2022-03-21,0.008537724603686625
2022-03-22,0.020800540778156185
2022-03-23,0.0082335631201782
2022-03-24,0.02267809767718676
2022-03-25,0.0037340571894040053
2022-03-28,0.005036582906293274
2022-03-29,0.019134330863172844
2022-03-30,-0.006649624098811646
2022-03-31,-0.0177756905171077
2022-04-01,-0.0017181088944538958
2022-04-04,0.023693459084690893
2022-04-05,-0.01894199306444022
2022-04-06,-0.01845087354361674
2022-04-07,0.001804072628600606
2022-04-08,-0.011908842538848274
2022-04-11,-0.025515940471700582
2022-04-12,0.01152355957849771
2022-04-13,0.016342417934680054
2022-04-14,-0.029988225244826916
2022-04-18,-0.001331146322462562
2022-04-19,0.014115116318159648
2022-04-20,-0.001015373789873597
2022-04-21,-0.004843612928124408
2022-04-22,-0.027821054122081135
2022-04-25,0.006737265846985974
2022-04-26,-0.03732818635988411
2022-04-27,-0.0014668647864322093
2022-04-28,0.045155600720521605
2022-04-29,-0.03660493241395457
2022-05-02,0.0019664405582111577
2022-05-03,0.00962249340123389
2022-05-04,0.04100844139793791
2022-05-05,-0.055716152239726924
2022-05-06,0.004727348082458338
2022-05-09,-0.033189358436702676
2022-05-10,0.016112084885349764
2022-05-11,-0.05184132127065377
2022-05-12,-0.02689424150244224
2022-05-13,0.0319165278967084
2022-05-16,-0.010672383476116432
2022-05-17,0.02542247346953319
2022-05-18,-0.05641905707229067
2022-05-19,-0.024641341263150207
2022-05-20,0.0017472773797755359
2022-05-23,0.04011920144014569
2022-05-24,-0.01921618394019886
2022-05-25,0.0011402035712888559
2022-05-26,0.02319959732402066
2022-05-27,0.04075643800394868
2022-05-31,-0.005346117602762823
2022-06-01,-0.0008734578010699545
2022-06-02,0.016811436101732413
2022-06-03,-0.038555787730637836
2022-06-06,0.005227750830828715
2022-06-07,0.017585755770420652
2022-06-08,-0.005043263835028511
2022-06-09,-0.03595562971839161
2022-06-10,-0.03862875162404433
2022-06-13,-0.038284685458019885
2022-06-14,0.006672413945290945
2022-06-15,0.02011148926827233
2022-06-16,-0.03965146034172051
2022-06-17,0.011533306796390974
2022-06-21,0.032760837252070685
2022-06-22,-0.0038272333648204926
2022-06-23,0.02157381478245113
2022-06-24,0.024517001851383835
2022-06-27,0.0
2022-06-28,-0.029789588556001667
2022-06-29,0.01302372423967757
2022-06-30,-0.018027564014167163
2022-07-01,0.016164532730831738
2022-07-05,0.01893019020347797
2022-07-06,0.009607215092873211
2022-07-07,0.02399952042010156
2022-07-08,0.0047146859364806115
2022-07-11,-0.014758004510052936
2022-07-12,0.006833843795805095
2022-07-13,-0.0025367444329212896
2022-07-14,0.020482653535089268
2022-07-15,0.011449839822464503
2022-07-18,-0.020642963977550388
2022-07-19,0.026721828238634338
2022-07-20,0.013509907553349132
2022-07-21,0.015094211796243595
2022-07-22,-0.008110580772054843
2022-07-25,-0.007398272494105629
2022-07-26,-0.008826626007494176
2022-07-27,0.03423486236465667
2022-07-28,0.0035716841866948457
2022-07-29,0.03279305274332378
2022-08-01,-0.006153461178649344
2022-08-02,-0.009287244960179297
2022-08-03,0.03824762812324911
2022-08-04,-0.001926203884434874
2022-08-05,-0.0013890528333392327
2022-08-08,-0.002903080058267782
2022-08-09,0.0003032807151632788
2022-08-10,0.026194625758300782
2022-08-11,-0.004431560425253278
2022-08-12,0.021425565276505854
2022-08-15,0.006333513847424088
2022-08-16,-0.0009237683483958037
2022-08-17,0.00878454065602341
2022-08-18,-0.002291604674706571
2022-08-19,-0.01510181711314984
2022-08-22,-0.02302943759356313
2022-08-23,-0.00202909776325666
2022-08-24,0.0017940969511196503
2022-08-25,0.014922706663351937
2022-08-26,-0.03769935304012617
2022-08-29,-0.013690225157071079
2022-08-30,-0.015305452587893842
2022-08-31,-0.010635078103488405
2022-09-01,0.004706879345106607
